date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
3/7/2021,AK,305,0,0,0,1293,1293,33,0,0,0,0,0,0,0,1660758,0,2,56886,0,0,0,0,0,0,0,68693,0,0,0,1731628,0,0,0,0,0,0,0,1731628,0
3/7/2021,AL,10148,7963,-1,2185,45976,45976,494,0,2676,0,1931711,2087,0,0,0,1515,0,499819,392077,408,0,0,0,0,0,0,295690,0,0,2323788,2347,0,0,119757,0,2323788,2347,0,0
3/7/2021,AR,5319,4308,22,1011,14926,14926,335,11,0,141,2480716,3267,0,0,2480716,1533,65,324818,255726,165,0,0,0,0,81803,0,315517,0,0,2736442,3380,0,0,0,481311,0,0,2736442,3380
3/7/2021,AS,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140,0,0,0,0,0,0,0,2140,0
3/7/2021,AZ,16328,14403,5,1925,57907,57907,963,44,0,273,3073010,13678,0,0,0,0,143,826454,769935,1335,0,0,0,0,0,0,0,0,0,7908105,45110,580569,0,444089,0,3842945,14856,7908105,45110
3/7/2021,CA,54124,0,258,0,0,0,4291,0,0,1159,0,0,0,0,0,0,0,3501394,3501394,3816,0,0,0,0,0,0,0,0,0,49646014,133186,0,0,0,0,0,0,49646014,133186
3/7/2021,CO,5989,5251,3,735,23904,23904,326,18,0,0,2199458,0,369995,0,0,0,0,436602,410976,840,0,63087,0,0,0,0,0,6415123,38163,6415123,38163,435053,0,0,0,2616541,6107,0,0
3/7/2021,CT,7704,6327,0,1377,0,0,428,0,0,0,0,0,0,0,6188566,0,0,285330,265709,0,0,0,22245,0,0,323284,0,0,0,6520366,0,0,396680,0,0,0,0,6520366,0
3/7/2021,DC,1030,0,0,0,0,0,150,0,0,38,0,0,0,0,0,0,16,41419,0,146,0,0,0,0,0,0,29570,1261363,5726,1261363,5726,0,0,0,0,441942,1149,0,0
3/7/2021,DE,1473,1337,9,136,0,0,104,0,0,13,545070,917,0,0,0,0,0,88354,83621,215,0,0,0,0,0,91873,0,1431942,5867,1431942,5867,0,0,0,0,633424,1132,0,0
